gender,event,medal,athlete,abb,country,type,year
Men,Double FITA Round Amputee,Silver,BRENNE Manfred,FRG,Germany,Archery,1980
Men,Double FITA Round Paraplegic,Gold,GEISS H.,FRG,Germany,Archery,1980
Men,Double FITA Round Paraplegic,Bronze,BUCHANAN J.,GBR,Great Britain,Archery,1980
Men,Double FITA Round Tetraplegic,Gold,PARKER T.,CAN,Canada,Archery,1980
Men,Double FITA Round Tetraplegic,Bronze,LAFONT G.,FRA,France,Archery,1980
Men,Double FITA Round Novice Paraplegic,Silver,WALSTRA Jappie,NED,Netherlands,Archery,1980
Men,Double FITA Round Novice Paraplegic,Bronze,VAN DER LIEFVOORT H.,NED,Netherlands,Archery,1980
Men,Double FITA Round Novice Tetraplegic,Bronze,ANDERSSON-TANNERSTAD Kent,SWE,Sweden,Archery,1980
Men,Short Metric Round Paraplegic,Gold,CHAPUIS J. M.,FRA,France,Archery,1980
Men,Short Metric Round Paraplegic,Silver,ZEISE L.,USA,USA,Archery,1980
Men,Short Metric Round Paraplegic,Bronze,THION J.,FRA,France,Archery,1980
Men,Short Metric Round Tetraplegic,Gold,HENKER Siegmar,FRG,Germany,Archery,1980
Men,Short Metric Round Tetraplegic,Silver,TREWHELLA Ian,AUS,Australia,Archery,1980
Women,Double FITA Round Amputee,Silver,KWIECINSKA Ewa,POL,Poland,Archery,1980
Women,Double FITA Round Amputee,Bronze,HYBOIS Marie-Francoise,FRA,France,Archery,1980
Women,Double FITA Round Paraplegic,Bronze,DERSEN Anneliese,FRG,Germany,Archery,1980
Women,Short Metric Round Paraplegic,Silver,WILLIAMSON Valerie,GBR,Great Britain,Archery,1980
Women,Advanced Metric Round Paraplegic,Gold,UNSICKER K.,USA,USA,Archery,1980
Women,Advanced Metric Round Paraplegic,Bronze,MATTHEWS G.,GBR,Great Britain,Archery,1980
Men,Double FITA Round Team Amputee,Gold,BRENNE Manfred,FRG,Germany,Archery,1980
Men,Double FITA Round Team Amputee,Gold,BUTENHOFF Hilmar,FRG,Germany,Archery,1980
Men,Double FITA Round Team Amputee,Gold,POHL K.,FRG,Germany,Archery,1980
Men,Double FITA Round Team Amputee,Silver,APPELKVIST Sune,SWE,Sweden,Archery,1980
Men,Double FITA Round Team Amputee,Silver,BABKIN Nicolai,SWE,Sweden,Archery,1980
Men,Double FITA Round Team Amputee,Silver,CARSSON Jan O.,SWE,Sweden,Archery,1980
Men,Double FITA Round Team Paraplegic,Silver,BUCHANAN J.CORRIE Alan,GBR,Great Britain,Archery,1980
Men,Double FITA Round Team Paraplegic,Silver,SMITH I.,GBR,Great Britain,Archery,1980
Men,Double FITA Round Team Paraplegic,Bronze,GEISS H.PFEFFER U.SCHMIDBERGER R.,FRG,Germany,Archery,1980
Men,Double FITA Round C1-C2,Gold,BAREFOOT David,CAN,Canada,Archery,1984
Men,"Double FITA Round C3,C6",Gold,THORNE Philip,GBR,Great Britain,Archery,1984
Men,Double FITA Round Div. 3,Bronze,TANQUEREL Benoit,FRA,France,Archery,1984
Men,Double FITA Round Integrated,Gold,THULIN Jan,SWE,Sweden,Archery,1984
Men,Double FITA Round Integrated,Silver,REBOLLO Antonio,ESP,Spain,Archery,1984
Men,Double FITA Round Paraplegic,Silver,WEIJERS J.,NED,Netherlands,Archery,1984
Men,Double FITA Round Tetraplegic,Silver,KONEMAN K.,NED,Netherlands,Archery,1984
Men,Double Short Metric Round Tetraplegic,Gold,HOLM Kenneth,SWE,Sweden,Archery,1984
