name,sex,age,height,weight,bmi,country,year,season,team,sport,medal
Juhamatti Tapio Aaltonen,M,28.0,184.0,85.0,25.11,Finland,2014,Winter,Finland,Ice Hockey,Bronze
Kjetil Andr Aamodt,M,30.0,176.0,85.0,27.44,Norway,2002,Winter,Norway,Alpine Skiing,Gold
Kjetil Andr Aamodt,M,30.0,176.0,85.0,27.44,Norway,2002,Winter,Norway,Alpine Skiing,Gold
Kjetil Andr Aamodt,M,34.0,176.0,85.0,27.44,Norway,2006,Winter,Norway,Alpine Skiing,Gold
Ragnhild Margrethe Aamodt,F,27.0,163.0,73.77,27.77,Norway,2008,Summer,Norway,Handball,Gold
Giovanni Abagnale,M,21.0,198.0,90.0,22.96,Italy,2016,Summer,Italy,Rowing,Bronze
Jos Luis Abajo Gmez,M,30.0,194.0,87.0,23.12,Spain,2008,Summer,Spain,Fencing,Bronze
Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,179.0,80.0,24.97,Russia,2008,Summer,Russia,Athletics,Silver
Aleksey Aleksandrovich Abalmasov,M,28.0,180.0,83.0,25.62,Belarus,2008,Summer,Belarus,Canoeing,Gold
Luc Abalo,M,23.0,182.0,86.0,25.96,France,2008,Summer,France,Handball,Gold
Luc Abalo,M,27.0,182.0,86.0,25.96,France,2012,Summer,France,Handball,Gold
Luc Abalo,M,31.0,182.0,86.0,25.96,France,2016,Summer,France,Handball,Silver
Stephen Anthony Abas,M,26.0,165.0,55.0,20.2,United States of America,2004,Summer,United States,Wrestling,Silver
Tamila Rashidovna Abasova,F,21.0,163.0,60.0,22.58,Russia,2004,Summer,Russia,Cycling,Silver
Jol Marc Abati,M,38.0,190.0,85.0,23.55,France,2008,Summer,France,Handball,Gold
"Desmond ""Des"" Abbott",M,21.0,184.0,87.0,25.7,Australia,2008,Summer,Australia,Hockey,Bronze
Jeremy Abbott,M,28.0,175.0,70.0,22.86,United States of America,2014,Winter,United States,Figure Skating,Bronze
Monica Cecilia Abbott,F,23.0,191.0,88.0,24.12,United States of America,2008,Summer,United States,Softball,Silver
Nia Nicole Abdallah,F,20.0,175.0,56.0,18.29,United States of America,2004,Summer,United States,Taekwondo,Silver
Jennifer Abel,F,20.0,160.0,62.0,24.22,Canada,2012,Summer,Canada,Diving,Bronze
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,23.92,Russia,2012,Summer,Russia,Gymnastics,Bronze
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,23.92,Russia,2012,Summer,Russia,Gymnastics,Silver
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,23.92,Russia,2016,Summer,Russia,Gymnastics,Silver
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,23.92,Russia,2016,Summer,Russia,Gymnastics,Silver
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,23.92,Russia,2016,Summer,Russia,Gymnastics,Bronze
"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,23.71,Australia,2016,Summer,Australia,Swimming,Bronze
Ara Abrahamian,M,29.0,191.0,84.0,23.03,Sweden,2004,Summer,Sweden,Wrestling,Silver
Pavel Sergeyevich Abramov,M,25.0,198.0,89.0,22.7,Russia,2004,Summer,Russia,Volleyball,Bronze
Yekaterina Konstantinovna Abramova,F,23.0,167.0,65.0,23.31,Russia,2006,Winter,Russia,Speed Skating,Bronze
"Alejandro ""lex"" Abrines Redondo",M,23.0,198.0,93.0,23.72,Spain,2016,Summer,Spain,Basketball,Bronze
Svetlana Olegovna Abrosimova,F,28.0,188.0,77.0,21.79,Russia,2008,Summer,Russia,Basketball,Bronze
Julien Absalon,M,23.0,180.0,68.0,20.99,France,2004,Summer,France,Cycling,Gold
Julien Absalon,M,27.0,180.0,68.0,20.99,France,2008,Summer,France,Cycling,Gold
Andreea Roxana Acatrinei,F,16.0,150.0,40.0,17.78,Romania,2008,Summer,Romania,Gymnastics,Bronze
William Accambray,M,24.0,194.0,104.0,27.63,France,2012,Summer,France,Handball,Gold
Chantal Achterberg,F,27.0,172.0,72.0,24.34,Netherlands,2012,Summer,Netherlands,Rowing,Bronze
Chantal Achterberg,F,31.0,172.0,72.0,24.34,Netherlands,2016,Summer,Netherlands,Rowing,Silver
Ronny Ackermann,M,24.0,184.0,69.0,20.38,Germany,2002,Winter,Germany,Nordic Combined,Silver
Ronny Ackermann,M,24.0,184.0,69.0,20.38,Germany,2002,Winter,Germany,Nordic Combined,Silver
Ronny Ackermann,M,28.0,184.0,69.0,20.38,Germany,2006,Winter,Germany,Nordic Combined,Silver
Lautaro Germn Acosta,M,20.0,168.0,72.0,25.51,Argentina,2008,Summer,Argentina,Football,Gold
Osmay Acosta Duarte,M,23.0,188.0,91.0,25.75,Cuba,2008,Summer,Cuba,Boxing,Bronze
"Michael B. ""Mike"" Adam",M,24.0,175.0,95.0,31.02,Canada,2006,Winter,Canada,Curling,Gold
Nicola Virginia Adams,F,29.0,164.0,51.0,18.96,United Kingdom,2012,Summer,Great Britain,Boxing,Gold
Nicola Virginia Adams,F,33.0,164.0,51.0,18.96,United Kingdom,2016,Summer,Great Britain,Boxing,Gold
Rachael Alexis Adams,F,26.0,188.0,81.0,22.92,United States of America,2016,Summer,United States,Volleyball,Bronze
"Victoria ""Vicki"" Adams",F,24.0,164.0,69.0,25.65,United Kingdom,2014,Winter,Great Britain,Curling,Bronze
Valerie Kasanita Adams-Vili (-Price),F,23.0,193.0,120.0,32.22,New Zealand,2008,Summer,New Zealand,Athletics,Gold
Valerie Kasanita Adams-Vili (-Price),F,27.0,193.0,120.0,32.22,New Zealand,2012,Summer,New Zealand,Athletics,Gold
Valerie Kasanita Adams-Vili (-Price),F,31.0,193.0,120.0,32.22,New Zealand,2016,Summer,New Zealand,Athletics,Silver
Filip Kamil Adamski,M,29.0,189.0,87.0,24.36,Germany,2012,Summer,Germany,Rowing,Gold
Adenzia Aparecida Ferreira da Silva,F,25.0,187.0,65.0,18.59,Brazil,2012,Summer,Brazil,Volleyball,Gold
"Richard ""Richy""  Adjei",M,27.0,190.0,110.0,30.47,Germany,2010,Winter,Germany-2,Bobsleigh,Silver
"Rebecca ""Becky"" Adlington",F,19.0,179.0,70.0,21.85,United Kingdom,2008,Summer,Great Britain,Swimming,Gold
"Rebecca ""Becky"" Adlington",F,19.0,179.0,70.0,21.85,United Kingdom,2008,Summer,Great Britain,Swimming,Gold
"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,21.85,United Kingdom,2012,Summer,Great Britain,Swimming,Bronze
"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,21.85,United Kingdom,2012,Summer,Great Britain,Swimming,Bronze
Nathan Ghar-Jun Adrian,M,19.0,198.0,100.0,25.51,United States of America,2008,Summer,United States,Swimming,Gold
Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,25.51,United States of America,2012,Summer,United States,Swimming,Gold
Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,25.51,United States of America,2012,Summer,United States,Swimming,Silver
Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,25.51,United States of America,2012,Summer,United States,Swimming,Gold
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,25.51,United States of America,2016,Summer,United States,Swimming,Bronze
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,25.51,United States of America,2016,Summer,United States,Swimming,Bronze
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,25.51,United States of America,2016,Summer,United States,Swimming,Gold
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,25.51,United States of America,2016,Summer,United States,Swimming,Gold
Kseniya Dmitriyevna Afanasyeva,F,20.0,158.0,48.0,19.23,Russia,2012,Summer,Russia,Gymnastics,Silver
Maksim Sergeyevich Afinogenov,M,22.0,183.0,88.0,26.28,Russia,2002,Winter,Russia,Ice Hockey,Bronze
Luca Agamennoni,M,24.0,187.0,93.0,26.59,Italy,2004,Summer,Italy,Rowing,Bronze
Luca Agamennoni,M,27.0,187.0,93.0,26.59,Italy,2008,Summer,Italy,Rowing,Silver
Clarisse Agbegnenou,F,23.0,164.0,66.0,24.54,France,2016,Summer,France,Judo,Silver
Marilyn Agliotti,F,29.0,172.0,58.0,19.61,Netherlands,2008,Summer,Netherlands,Hockey,Gold
Marilyn Agliotti,F,33.0,172.0,58.0,19.61,Netherlands,2012,Summer,Netherlands,Hockey,Gold
Yannick Agnel,M,20.0,202.0,90.0,22.06,France,2012,Summer,France,Swimming,Gold
Yannick Agnel,M,20.0,202.0,90.0,22.06,France,2012,Summer,France,Swimming,Gold
Yannick Agnel,M,20.0,202.0,90.0,22.06,France,2012,Summer,France,Swimming,Silver
Meghan Christina Agosta (-Marciano),F,18.0,168.0,67.0,23.74,Canada,2006,Winter,Canada,Ice Hockey,Gold
Meghan Christina Agosta (-Marciano),F,23.0,168.0,67.0,23.74,Canada,2010,Winter,Canada,Ice Hockey,Gold
Meghan Christina Agosta (-Marciano),F,26.0,168.0,67.0,23.74,Canada,2014,Winter,Canada,Ice Hockey,Gold
"Benjamin Alexandro ""Ben"" Agosto",M,24.0,178.0,75.0,23.67,United States of America,2006,Winter,United States-1,Figure Skating,Silver
Sergio Leonel Agero del Castillo,M,20.0,172.0,74.0,25.01,Argentina,2008,Summer,Argentina,Football,Gold
Macarena Aguilar Daz,F,27.0,170.0,67.0,23.18,Spain,2012,Summer,Spain,Handball,Bronze
Sandra Aguilar Navarro,F,23.0,167.0,50.0,17.93,Spain,2016,Summer,Spain,Rhythmic Gymnastics,Silver
